JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458666.37631,16.19,,,R,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458666.39041,16.92,,,SG,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458666.40453,16.58,,,SI,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458666.41863,16.26,,,SR,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458667.43353,16.449,0.05,,V,EHEA,,ensemble,000-BNC-523,X24436FB,,0,,Z,,14.561,,SN 2019EIN,AAVSO,STD,,,,
2458667.47639,16.5,,,Vis.,TYS,S,162,166,X24431ABA,VISUAL FROM SLOOH DIGITAL IMAGE.,,,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458667.49951,16.6,0.1,,CV,BJMC,,,,from Guide9,,0,,Z,16.7,,,SN 2019EIN,AAVSO,STD,,,,
2458668.44400,16.51,,,V,MMAO,,000-BNC-522,,24469AG,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458670.39096,16.35,,,SR,LGIB,,000-BNC-522,,X22436ER,,0,,Z,14.15,,,SN 2019EIN,AAVSO,STD,,,,
2458670.40314,17.02,,,SG,LGIB,,000-BNC-522,,X22436ER,,0,,Z,14.52,,,SN 2019EIN,AAVSO,STD,,,,
2458670.42609 ,16.482,0.013 ,,V,MAND,,000-BNC-526,000-BNC-526,X24436ER,,0,1.324,Z,15.461,15.461,,SN 2019EIN,AAVSO,STD,,,,
2458670.42839,17.02,,,SI,LGIB,,000-BNC-522,,X22436ER,,0,,Z,14.015,,,SN 2019EIN,AAVSO,STD,,,,
2458670.44579,16.65,,,V,LGIB,,000-BNC-522,,X22436ER,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458670.44590,16.520,0.05,,V,EHEA,,ensemble,000-BNC-523,X24436FB,,0,,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458671.41389,17.1,,,TB,JPG,,UCAC4-652-053513,,X24453IX,,0,,Z,14.866,,,SN 2019EIN,AAVSO,STD,,,,
2458671.41389,16.6,,,TG,JPG,,UCAC4-652-053513,,16.6,,0,,Z,14.323,,,SN 2019EIN,AAVSO,STD,,,,
2458671.41389,16.2,,,TR,JPG,,UCAC4-652-053513,,X24453IX,,0,,Z,13.956,,,SN 2019EIN,AAVSO,STD,,,,
2458672.37896 ,16.491,0.012 ,,V,MAND,,000-BNC-526,000-BNC-526,X24436ER,,0,1.160,Z,15.461,15.461,,SN 2019EIN,AAVSO,STD,,,,
